security_id,fiscal_period_end,fiscal_year,fiscal_quarter,available_at,revenue,ebitda,depreciation_and_amortization,capital_expenditure,working_capital,marginal_tax_rate_annual_decimal
SYNTHETIC_FIRM,2000-03-31,2000,1,2000-05-10T00:00:00Z,100.000000000000,30.000000000000,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2000-06-30,2000,2,2000-08-09T00:00:00Z,109.108452130361,33.574006623916,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2000-09-30,2000,3,2000-11-09T00:00:00Z,107.702282018340,33.219982032328,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2000-12-31,2000,4,2001-02-09T00:00:00Z,99.797717981660,30.080435402558,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2001-03-31,2001,1,2001-05-10T00:00:00Z,98.391547869639,28.760661865584,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2001-06-30,2001,2,2001-08-09T00:00:00Z,107.500000000000,31.291075725337,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2001-09-30,2001,3,2001-11-09T00:00:00Z,116.608452130361,34.703120140909,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2001-12-31,2001,4,2002-02-09T00:00:00Z,115.202282018340,35.217671204221,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2002-03-31,2002,1,2002-05-10T00:00:00Z,107.297717981660,33.178673641121,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2002-06-30,2002,2,2002-08-09T00:00:00Z,105.891547869639,32.179582846133,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2002-09-30,2002,3,2002-11-09T00:00:00Z,115.000000000000,33.955978889111,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2002-12-31,2002,4,2003-02-09T00:00:00Z,124.108452130361,36.232545432558,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2003-03-31,2003,1,2003-05-10T00:00:00Z,122.702282018340,36.274111687501,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2003-06-30,2003,2,2003-08-09T00:00:00Z,114.797717981660,34.859482431325,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2003-09-30,2003,3,2003-11-09T00:00:00Z,113.391547869639,35.008071716586,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2003-12-31,2003,4,2004-02-09T00:00:00Z,122.500000000000,37.400287840157,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2004-03-31,2004,1,2004-05-10T00:00:00Z,131.608452130361,39.194632322443,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2004-06-30,2004,2,2004-08-09T00:00:00Z,130.202282018340,38.099287113622,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2004-09-30,2004,3,2004-11-09T00:00:00Z,122.297717981660,35.938328147726,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2004-12-31,2004,4,2005-02-09T00:00:00Z,120.891547869639,36.417341570555,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2005-03-31,2005,1,2005-05-10T00:00:00Z,130.000000000000,39.912945250728,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2005-06-30,2005,2,2005-08-09T00:00:00Z,139.108452130361,42.569191277644,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2005-09-30,2005,3,2005-11-09T00:00:00Z,137.702282018340,41.301833296212,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2005-12-31,2005,4,2006-02-09T00:00:00Z,129.797717981660,38.093094990323,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2006-03-31,2006,1,2006-05-10T00:00:00Z,128.391547869639,37.611885998885,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2006-06-30,2006,2,2006-08-09T00:00:00Z,137.500000000000,41.117648249902,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2006-09-30,2006,3,2006-11-09T00:00:00Z,146.608452130361,44.745094089588,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2006-12-31,2006,4,2007-02-09T00:00:00Z,145.202282018340,44.517060533906,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2007-03-31,2007,1,2007-05-10T00:00:00Z,137.297717981660,41.460221182806,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2007-06-30,2007,2,2007-08-09T00:00:00Z,135.891547869639,40.103830476679,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2007-09-30,2007,3,2007-11-09T00:00:00Z,145.000000000000,42.511968375907,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2007-12-31,2007,4,2008-02-09T00:00:00Z,154.108452130361,45.828497993785,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2008-03-31,2008,1,2008-05-10T00:00:00Z,152.702282018340,46.362111286744,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2008-06-30,2008,2,2008-08-09T00:00:00Z,144.797717981660,44.439227254605,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2008-09-30,2008,3,2008-11-09T00:00:00Z,143.391547869639,43.546547047012,3.0,4.0,30.0,0.25
SYNTHETIC_FIRM,2008-12-31,2008,4,2009-02-09T00:00:00Z,152.500000000000,45.321817330504,3.0,4.0,30.0,0.25
